latitude,longitude,nameOfPoint
4.634481,-74.0705645,punto 1
4.6345038,-74.0705444,punto 2
4.6345265,-74.0705229,punto 3
4.6345492,-74.0705028,punto 4
4.6345733,-74.0704814,punto 5
4.6345947,-74.0704626,punto 6
4.6346147,-74.0704458,punto 7
4.6346368,-74.0704311,punto 8
4.6346582,-74.0704156,punto 9
4.6346816,-74.0704203,punto 10
4.6347036,-74.0704344,punto 11
4.6347223,-74.0704485,punto 12
4.6347417,-74.0704639,punto 13
4.6347624,-74.070478,punto 14
4.6347831,-74.0704894,punto 15
4.6348032,-74.0704961,punto 16
4.6348219,-74.0704921,punto 17
4.6348413,-74.0704854,punto 18
4.6348587,-74.0704773,punto 19
4.6348754,-74.07047,punto 20
4.6348894,-74.0704612,punto 21
4.6349075,-74.0704559,punto 22
4.6349262,-74.0704492,punto 23
4.6349429,-74.0704438,punto 24
4.6349609,-74.0704398,punto 25
4.6349783,-74.0704358,punto 26
4.634993,-74.0704311,punto 27
4.6350097,-74.070427,punto 28
4.6350291,-74.0704257,punto 29
4.6350471,-74.0704237,punto 30
4.6350652,-74.070421,punto 31
4.6350839,-74.0704203,punto 32
4.6351026,-74.0704203,punto 33
4.6351213,-74.0704197,punto 34
4.63514,-74.070419,punto 35
4.6351588,-74.070419,punto 36
4.6351775,-74.070419,punto 37
4.6351962,-74.070419,punto 38
4.6352142,-74.0704197,punto 39
4.635233,-74.0704197,punto 40
4.6352517,-74.070419,punto 41
4.6352704,-74.0704183,punto 42
4.6352891,-74.070419,punto 43
4.6353078,-74.070419,punto 44
4.6353265,-74.070419,punto 45
4.6353459,-74.0704183,punto 46
4.6353646,-74.0704183,punto 47
4.6353833,-74.070419,punto 48
4.6354027,-74.0704197,punto 49
4.6354214,-74.070421,punto 50
4.6354395,-74.070423,punto 51
